male_firstname,female_firstname,surname
Admon,Anlost,Belgre
Arlack,Bredine,Blackheel
Barl,Burnev,Blackitt
Bartan,Cathro,Darrow
Bindar,Celath,Dolgren
Brogan,Crelyth,Domack
Bullin,Crieda,Dorgun
Decklin,Darlave,Durkin
Dragar,Dira,Fortros
Dunarl,Garline,Gherke
Durg,Gedine,Hardwick
Durke,Geduve,Icehold
Ecken,Girta,Lugro
Freitag,Gorina,Netweaver
Galtar,Heleth,Olghrd
Gamack,Hiln,Oreblood
Gerhard,Magrat,Redhammer
Gidrick,Marba,Rothrock
Golrick,Mendine,Serric
Gruhn,Nollos,Sigmur
Guvul,Sartine,Softshadow
Havelock,Torlith,Steadfast
Hedwig,Uhlith,Stoneground
Herne,Ulave,Torgun
Holdur,Vetta,Urdro
Jaldun,,Whitnock
Jurg,,Wroughthammer
Kalmon,,
Lossock,,
Redgar,,
Theldor,,
Tholrick,,
Tholrick,,
Thorne,,
