male_firstname,female_firstname,surname,khadoran_surname_traditional,surname_male_suffix,surname_female_suffix
Aika,Akina,Abrosim,Abrosimovich,evich,ovna
Aleksi,Akilina,Adka,Adkevich,ovich,evna
Alexandr,Aleksa,Agrimko,Alekseevich,,
Alexei,Anana,Aleksy,Aleshkovich,,
Aliosha,Anastasia,Aleshko,Baborevich,,
Ambroz,Anikita,Antonidka,Borgevich,,
Andrei,Bazhina,Babora,Csaborovich,,
Balsnoch,Britt,Belavdon,Dvorevich,,
Barak,Cesta,Berzhin,Dvorovich,,
Bladko,Cestina,Blizbor,Durgevich,,
Boris,Corinna,Bolovan,Faltinovich,,
Borja,Dalika,Borga,Grishkevich,,
Chasek,Darzha,Csabor,Grishkovich,,
Costi,Elina,Dementskov,Karakovich,,
Culamir,Eliska,Dvora,Kutsovich,,
Dahlrif,Elka,Durga,Ladislavovich,,
Dalmat,Gridia,Faltin,Lovotovich,,
Dmitri,Gubina,Grishka,Loukevich,,
Dobrinya,Ihrin,Grychkin,Loukovich,,
Dorek,Ilyana,Gubin,Lozarevich,,
Dragash,Ivona,Istori,Lozarovich,,
Drago,Kasia,Karakov,Makarovich,,
Falko,Katerina,Koposin,Mileshkovich,,
Fedko,Katia,Krasnovo,Mrovkovich,,
Fedor,Klenka,Kutsov,Orlovich,,
Fodor,Ksana,Ladislav,Padorinovich,,
Gasan,Laika,Lichko,Petrokovich,,
Ghita,Lariana,Lovot,Radazarevich,,
Giza,Ludmila,Louka,Szetkovich,,
Gorash,Malana,Lozar,Ushkovich,,
Goraz,Marfa,Makara,Varnekovich,,
Gorian,Marina,Makarin,Venianminovich,,
Grigor,Marta,Makarov,Vilimovich,,
Grigory,Mia,Mikita,Zavorovich,,
Iagan,Mikhaila,Mileshka,Zhinovich,,
Iakhno,Milena,Mrovka,,,
Iakshen,Misha,Nagorka,,,
Igor,Myrra,Nazarko,,,
Ilya,Nastasja,Neshka,,,
Ivan,Natalya,Orlov,,,
Ivash,Nikita,Osokin,,,
Ivdan,Ninete,Ostyvik,,,
Jachemir,Ondreiana,Padorin,,,
Jarosch,Riksa,Petrok,,,
Josef,Siri,Petru,,,
Kachalo,Sivasha,Raboshich,,,
Kigir,Sofia,Rachlavsky,,,
Kirbitei,Sonja,Radazar,,,
Kohan,Stefka,Rostov,,,
Kosara,Tahni,Starov,,,
Ladimir,Tara,Stasvite,,,
Levanid,Tatyana,Szetka,,,
Loshka,Vjera,Ushka,,,
Luka,Yelena,Tiudiaminov,,,
Malash,Zelmira,Toshiana,,,
Malko,Zori,Varnek,,,
Michal,,Venianminov,,,
Michka,,Vilimov,,,
Mikhail,,Vislovski,,,
Mikolo,,Zavor,,,
Mishka,,Zeitsev,,,
Negomir,,Zhina,,,
Nekras,,Zhivo,,,
Nikolei,,,,,
Olekse,,,,,
Pachek,,,,,
Petrov,,,,,
Pytor,,,,,
Radomir,,,,,
Radu,,,,,
Rajko,,,,,
Ruskin,,,,,
Sadko,,,,,
Sergei,,,,,
Servath,,,,,
Solovei,,,,,
Stoyan,,,,,
Valerian,,,,,
Vasily,,,,,
Vasiuk,,,,,
Vasko,,,,,
Vladjimir,,,,,
Vojin,,,,,
Volkh,,,,,
Yakov,,,,,
Yaro,,,,,
Yuri,,,,,
Yurik,,,,,
