male_firstname,female_firstname,surname
Agnolo,Alda,Acorsi
Alvoro,Aldiana,Actavio
Amador,Anastasi,Avreu
Amario,Andrea,Balduccio
Ambro,Badess,Bandesco
Andro,Biella,Bateu
Avito,Branca,Begni
Bacar,Carlutia,Belcari
Bartal,Consola,Benzo
Barzal,Creena,Bezerra
Belchior,Danola,Borgho
Bernal,Dialta,Brancacci
Biagio,Eliana,Carvalo
Caldini,Favia,Casini
Calefo,Felice,Castra
Damasco,Fia,Corazo
Dego,Gabriele,Cravo
Falchi,Giana,Degrata
Faro,Giona,Duranti
Fernam,Giovanna,Evora
Francar,Gratia,Fariseu
Gaspar,Imelda,Florio
Gazo,Isabel,Gaspar
Gismondo,Lena,Gateu
Gozca,Loriana,Ginori
Grigori,Lorita,Goncal
Jaspar,Malatesta,Graza
Laspar,Margia,Guaspar
Lavoro,Matea,Labigio
Lionor,Mirena,Lasca
Lorio,Nicola,Lioni
Lupar,Oliveta,Mascal
Malo,Orabella,Masi
Manario,Rena,Mateu
Maro,Rosa,Mazini
Mateo,Sandrea,Nerini
Montador,Scarlata,Orafi
Nando,Selanda,Osoyro
Nicolo,Simona,Ovalho
Olivo,Stiata,Pagani
Ormano,Tadeo,Pelario
Padri,Talia,Pescar
Pascal,Tareyja,Petri
Piero,Valori,Randasi
Rafaldo,Verona,Regla
Ranal,,Rosado
Rufio,,Rubeu
Salvi,,Salo
Sighieri,,Salvestro
Stagiar,,Santoro
Vasco,,Scali
Zachar,,Scorgiani
,,Segalozo
,,Silva
,,Simtra
,,Solvo
,,Stario
,,Stradeu
,,Tavora
,,Tedesci
,,Telloso
,,Tieri
,,Torcail
,,Trovato
,,Ubaldo
,,Ulavari
,,Valoro
,,Varyo
,,Vascal
,,Vascalho
,,Versalo
,,Viteu
,,Zacharo
,,Zaspar
,,Zucco
